date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2023-01-01,SKU_0001,346,0,14.0,94
2023-01-08,SKU_0001,266,0,14.0,94
2023-01-15,SKU_0001,219,0,14.0,94
2023-01-22,SKU_0001,157,0,14.0,94
2023-01-29,SKU_0001,144,0,14.0,94
2023-02-05,SKU_0001,107,0,14.0,94
2023-02-12,SKU_0001,95,0,14.0,94
2023-02-19,SKU_0001,95,0,14.0,94
2023-02-26,SKU_0001,163,0,14.0,94
2023-03-05,SKU_0001,130,0,14.0,94
2023-03-12,SKU_0001,113,0,14.0,94
2023-03-19,SKU_0001,206,0,14.0,94
2023-03-26,SKU_0001,203,0,14.0,94
2023-04-02,SKU_0001,192,0,14.0,94
2023-04-09,SKU_0001,192,0,14.0,94
2023-04-16,SKU_0001,141,0,14.0,94
2023-04-23,SKU_0001,113,0,14.0,94
2023-04-30,SKU_0001,97,0,14.0,94
2023-05-07,SKU_0001,183,0,14.0,94
2023-05-14,SKU_0001,147,0,14.0,94
2023-05-21,SKU_0001,115,0,14.0,94
2023-05-28,SKU_0001,111,0,14.0,94
2023-06-04,SKU_0001,100,0,14.0,94
2023-06-11,SKU_0001,125,0,14.0,94
2023-06-18,SKU_0001,112,0,14.0,94
2023-06-25,SKU_0001,103,0,14.0,94
2023-07-02,SKU_0001,101,0,14.0,94
2023-07-09,SKU_0001,100,0,14.0,94
2023-07-16,SKU_0001,72,71,14.0,94
2023-07-23,SKU_0001,52,62,14.0,94
2023-07-30,SKU_0001,205,0,14.0,94
2023-08-06,SKU_0001,156,0,14.0,94
2023-08-13,SKU_0001,144,0,14.0,94
2023-08-20,SKU_0001,144,0,14.0,94
2023-08-27,SKU_0001,128,0,14.0,94
2023-09-03,SKU_0001,95,0,14.0,94
2023-09-10,SKU_0001,92,70,14.0,94
2023-09-17,SKU_0001,84,130,14.0,94
2023-09-24,SKU_0001,75,168,14.0,94
2023-10-01,SKU_0001,159,0,14.0,94
2023-10-08,SKU_0001,137,0,14.0,94
2023-10-15,SKU_0001,119,0,14.0,94
2023-10-22,SKU_0001,95,0,14.0,94
2023-10-29,SKU_0001,83,159,14.0,94
2023-11-05,SKU_0001,83,165,14.0,94
2023-11-12,SKU_0001,192,0,14.0,94
2023-11-19,SKU_0001,146,0,14.0,94
2023-11-26,SKU_0001,145,0,14.0,94
2023-12-03,SKU_0001,102,0,14.0,94
2023-12-10,SKU_0001,274,0,14.0,94
2023-12-17,SKU_0001,219,0,14.0,94
2023-12-24,SKU_0001,182,0,14.0,94
2023-12-31,SKU_0001,141,0,14.0,94
2024-01-07,SKU_0001,112,0,14.0,94
2024-01-14,SKU_0001,82,57,14.0,94
2024-01-21,SKU_0001,75,126,14.0,94
2024-01-28,SKU_0001,107,0,14.0,94
2024-02-04,SKU_0001,107,0,14.0,94
2024-02-11,SKU_0001,249,0,14.0,94
2024-02-18,SKU_0001,193,0,14.0,94
2024-02-25,SKU_0001,143,0,14.0,94
