date,sku_id,units_sold,revenue,unit_price,promo_flag
2023-03-13,SKU_0001,27.0,164298.78,6085.14,0
2023-03-14,SKU_0001,34.0,206894.76,6085.14,0
2023-03-15,SKU_0001,38.0,196550.02,5172.37,1
2023-03-16,SKU_0001,33.0,200809.62,6085.14,0
2023-03-17,SKU_0001,20.0,121702.8,6085.14,0
2023-03-18,SKU_0001,54.0,315514.51,5172.37,1
2023-03-19,SKU_0001,51.0,310342.14,6085.14,0
2023-03-20,SKU_0001,30.0,182554.2,6085.14,0
2023-03-21,SKU_0001,42.0,255575.88,6085.14,0
2023-03-22,SKU_0001,40.0,243405.6,6085.14,0
2023-03-23,SKU_0001,34.0,206894.76,6085.14,0
2023-03-24,SKU_0001,38.0,231235.32,6085.14,0
2023-03-25,SKU_0001,47.0,286001.58,6085.14,0
2023-03-26,SKU_0001,25.0,152128.5,6085.14,0
2023-03-27,SKU_0001,28.0,170383.92,6085.14,0
2023-03-28,SKU_0001,34.0,206894.76,6085.14,0
2023-03-29,SKU_0001,40.0,243405.6,6085.14,0
2023-03-30,SKU_0001,21.0,127787.94,6085.14,0
2023-03-31,SKU_0001,19.0,115617.66,6085.14,0
2023-04-01,SKU_0001,37.0,225150.18,6085.14,0
2023-04-02,SKU_0001,22.0,133873.08,6085.14,0
2023-04-03,SKU_0001,28.0,170383.92,6085.14,0
2023-04-04,SKU_0001,31.0,188639.34,6085.14,0
2023-04-05,SKU_0001,23.0,139958.22,6085.14,0
2023-04-06,SKU_0001,28.0,170383.92,6085.14,0
2023-04-07,SKU_0001,34.0,206894.76,6085.14,0
2023-04-08,SKU_0001,27.0,206894.76,6085.14,0
2023-04-09,SKU_0001,32.0,194724.48,6085.14,0
2023-04-10,SKU_0001,35.0,181032.92,5172.37,1
2023-04-11,SKU_0001,23.0,139958.22,6085.14,0
2023-04-12,SKU_0001,40.0,243405.6,6085.14,0
2023-04-13,SKU_0001,36.0,186205.28,5172.37,1
2023-04-14,SKU_0001,25.0,152128.5,6085.14,0
2023-04-15,SKU_0001,39.0,237320.46,6085.14,0
2023-04-16,SKU_0001,37.0,225150.18,6085.14,0
2023-04-17,SKU_0001,28.0,170383.92,6085.14,0
2023-04-18,SKU_0001,26.0,158213.64,6085.14,0
2023-04-19,SKU_0001,25.0,152128.5,6085.14,0
2023-04-20,SKU_0001,20.0,121702.8,6085.14,0
2023-04-21,SKU_0001,37.0,225150.18,6085.14,0
2023-04-22,SKU_0001,42.0,255575.88,6085.14,0
2023-04-23,SKU_0001,40.0,243405.6,6085.14,0
2023-04-24,SKU_0001,28.0,170383.92,6085.14,0
2023-04-25,SKU_0001,23.0,139958.22,6085.14,0
2023-04-26,SKU_0001,24.0,146043.36,6085.14,0
2023-04-27,SKU_0001,26.0,134481.59,5172.37,1
2023-04-28,SKU_0001,25.0,152128.5,6085.14,0
2023-04-29,SKU_0001,37.0,191377.65,5172.37,1
2023-04-30,SKU_0001,51.0,310342.14,6085.14,0
2023-05-01,SKU_0001,31.0,188639.34,6085.14,0
2023-05-02,SKU_0001,27.0,164298.78,6085.14,0
2023-05-03,SKU_0001,22.0,133873.08,6085.14,0
2023-05-04,SKU_0001,21.0,127787.94,6085.14,0
2023-05-05,SKU_0001,25.0,152128.5,6085.14,0
2023-05-06,SKU_0001,41.0,249490.74,6085.14,0
2023-05-07,SKU_0001,48.0,292086.72,6085.14,0
2023-05-08,SKU_0001,19.0,115617.66,6085.14,0
2023-05-09,SKU_0001,37.0,191377.65,5172.37,1
2023-05-10,SKU_0001,23.0,139958.22,6085.14,0
2023-05-11,SKU_0001,24.0,146043.36,6085.14,0
2023-05-12,SKU_0001,27.0,164298.78,6085.14,0
2023-05-13,SKU_0001,29.0,176469.06,6085.14,0
2023-05-14,SKU_0001,33.0,200809.62,6085.14,0
2023-05-15,SKU_0001,21.0,127787.94,6085.14,0
2023-05-16,SKU_0001,23.0,139958.22,6085.14,0
2023-05-17,SKU_0001,30.0,182554.2,6085.14,0
2023-05-18,SKU_0001,27.0,164298.78,6085.14,0
2023-05-19,SKU_0001,30.0,182554.2,6085.14,0
2023-05-20,SKU_0001,30.0,182554.2,6085.14,0
2023-05-21,SKU_0001,38.0,231235.32,6085.14,0
2023-05-22,SKU_0001,18.0,109532.52,6085.14,0
2023-05-23,SKU_0001,33.0,170688.18,5172.37,1
2023-05-24,SKU_0001,30.0,182554.2,6085.14,0
2023-05-25,SKU_0001,17.0,103447.38,6085.14,0
2023-05-26,SKU_0001,23.0,139958.22,6085.14,0
2023-05-27,SKU_0001,35.0,212979.9,6085.14,0
2023-05-28,SKU_0001,52.0,268963.19,5172.37,1
2023-05-29,SKU_0001,23.0,139958.22,6085.14,0
2023-05-30,SKU_0001,29.0,176469.06,6085.14,0
2023-05-31,SKU_0001,34.0,206894.76,6085.14,0
2023-06-01,SKU_0001,25.0,152128.5,6085.14,0
2023-06-02,SKU_0001,27.0,133873.08,6085.14,0
2023-06-03,SKU_0001,32.0,194724.48,6085.14,0
2023-06-04,SKU_0001,26.0,158213.64,6085.14,0
2023-06-05,SKU_0001,23.0,139958.22,6085.14,0
2023-06-06,SKU_0001,22.0,133873.08,6085.14,0
2023-06-07,SKU_0001,24.0,146043.36,6085.14,0
2023-06-08,SKU_0001,21.0,127787.94,6085.14,0
2023-06-09,SKU_0001,25.0,152128.5,6085.14,0
2023-06-10,SKU_0001,27.0,164298.78,6085.14,0
2023-06-11,SKU_0001,35.0,212979.9,6085.14,0
2023-06-12,SKU_0001,21.0,127787.94,6085.14,0
2023-06-13,SKU_0001,13.0,79106.82,6085.14,0
2023-06-14,SKU_0001,18.0,109532.52,6085.14,0
2023-06-15,SKU_0001,23.0,139958.22,6085.14,0
2023-06-16,SKU_0001,31.0,188639.34,6085.14,0
2023-06-17,SKU_0001,35.0,212979.9,6085.14,0
2023-06-18,SKU_0001,16.0,97362.24,6085.14,0
2023-06-19,SKU_0001,16.0,97362.24,6085.14,0
2023-06-20,SKU_0001,35.0,181032.92,5172.37,1
2023-06-21,SKU_0001,26.0,158213.64,6085.14,0
2023-06-22,SKU_0001,33.0,200809.62,6085.14,0
2023-06-23,SKU_0001,21.0,127787.94,6085.14,0
2023-06-24,SKU_0001,25.0,152128.5,6085.14,0
2023-06-25,SKU_0001,30.0,182554.2,6085.14,0
2023-06-26,SKU_0001,21.0,127787.94,6085.14,0
2023-06-27,SKU_0001,28.0,170383.92,6085.14,0
2023-06-28,SKU_0001,26.0,134481.59,5172.37,1
2023-06-29,SKU_0001,22.0,133873.08,6085.14,0
2023-06-30,SKU_0001,18.0,109532.52,6085.14,0
2023-07-01,SKU_0001,37.0,191377.65,5172.37,1
2023-07-02,SKU_0001,20.0,121702.8,6085.14,0
2023-07-03,SKU_0001,21.0,127787.94,6085.14,0
2023-07-04,SKU_0001,27.0,164298.78,6085.14,0
2023-07-05,SKU_0001,12.0,73021.68,6085.14,0
2023-07-06,SKU_0001,25.0,152128.5,6085.14,0
