sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU_0001,Furnishings,Sofas,2023-03-13,4003.06,6085.14
SKU_0002,Furnishings,Sofas,2023-03-16,3033.43,4511.38
SKU_0003,Furnishings,Sofas,2023-04-14,2350.32,3996.6
SKU_0004,Furnishings,Sofas,2023-01-02,3569.56,4728.6
SKU_0005,Furnishings,Sofas,2023-05-10,3637.79,8826.24
SKU_0006,Furnishings,Sofas,2023-02-27,990.94,1506.31
SKU_0007,Furnishings,Sofas,2023-02-18,2671.31,4857.33
SKU_0008,Furnishings,Sofas,2023-01-15,2671.4,4754.65
SKU_0009,Furnishings,Sofas,2023-02-20,2334.74,5234.98
SKU_0010,Furnishings,Sofas,2023-05-11,1974.06,4895.43
SKU_0011,Furnishings,Tables,2023-06-16,3076.97,4629.7
SKU_0012,Furnishings,Tables,2023-01-14,165.0,401.06
SKU_0013,Furnishings,Tables,2023-02-22,4061.15,6763.99
SKU_0014,Furnishings,Tables,2023-06-21,1231.38,1956.95
SKU_0015,Furnishings,Tables,2023-03-22,2526.37,3388.53
SKU_0016,Furnishings,Tables,2023-01-02,1368.02,2866.04
SKU_0017,Furnishings,Tables,2023-01-04,2183.26,3383.03
SKU_0018,Furnishings,Tables,2023-02-13,1005.79,2477.77
SKU_0019,Furnishings,Chairs,2023-04-05,2036.24,4911.39
SKU_0020,Furnishings,Chairs,2023-02-09,4617.18,6492.64
SKU_0021,Furnishings,Chairs,2023-04-21,4238.22,9310.45
SKU_0022,Furnishings,Chairs,2023-05-04,4160.81,7190.31
SKU_0023,Furnishings,Chairs,2023-02-14,1452.4,2404.49
SKU_0024,Furnishings,Chairs,2023-03-29,465.3,1155.93
SKU_0025,Furnishings,Chairs,2023-03-04,2034.92,3362.07
SKU_0026,Furnishings,Chairs,2023-06-12,4095.76,8798.63
SKU_0027,Furnishings,Chairs,2023-02-10,3971.86,8051.56
SKU_0028,Furnishings,Beds,2023-06-11,4329.21,8866.04
SKU_0029,Furnishings,Beds,2023-03-03,567.51,990.29
SKU_0030,Furnishings,Beds,2023-04-14,1693.4,3684.04
SKU_0031,Furnishings,Beds,2023-04-11,1446.14,2853.95
SKU_0032,Furnishings,Beds,2023-01-05,4861.39,11272.09
SKU_0033,Furnishings,Beds,2023-04-13,2850.26,6342.29
SKU_0034,Furnishings,Beds,2023-03-31,298.12,641.79
SKU_0035,Furnishings,Beds,2023-03-04,224.55,320.99
SKU_0036,Furnishings,Beds,2023-04-06,4489.24,8396.87
SKU_0037,Furnishings,Beds,2023-05-23,3508.03,5146.97
SKU_0038,Furnishings,Beds,2023-06-09,3802.2,5986.78
SKU_0039,Decor,Vases,2023-03-07,1519.78,2269.74
SKU_0040,Decor,Vases,2023-05-14,3159.33,5227.93
SKU_0041,Decor,Vases,2023-03-25,2337.02,3650.73
SKU_0042,Decor,Vases,2023-04-02,4473.54,8710.92
SKU_0043,Decor,Vases,2023-05-09,1845.86,4408.27
SKU_0044,Decor,Vases,2023-04-26,1216.88,2205.63
SKU_0045,Decor,Vases,2023-06-04,1827.59,3044.29
SKU_0046,Decor,Vases,2023-02-20,2145.31,3360.69
SKU_0047,Decor,Vases,2023-02-28,1420.12,2262.18
SKU_0048,Decor,Vases,2023-06-29,1683.69,3236.98
SKU_0049,Decor,Wall Art,2023-01-12,417.97,670.72
SKU_0050,Decor,Wall Art,2023-04-23,1333.73,2529.68
SKU_0051,Decor,Wall Art,2023-04-23,825.63,2061.84
SKU_0052,Decor,Wall Art,2023-03-28,4885.41,8760.73
SKU_0053,Decor,Wall Art,2023-05-27,1465.37,3502.12
SKU_0054,Decor,Wall Art,2023-06-09,3435.46,6654.9
SKU_0055,Decor,Wall Art,2023-05-03,2809.18,5649.92
SKU_0056,Decor,Wall Art,2023-03-10,1286.58,2912.52
SKU_0057,Decor,Candles,2023-05-24,4918.77,8748.47
SKU_0058,Decor,Candles,2023-03-11,4192.98,7064.9
SKU_0059,Decor,Candles,2023-06-13,3509.48,8177.2
SKU_0060,Decor,Candles,2023-05-27,181.28,347.06
SKU_0061,Decor,Candles,2023-06-10,1808.46,2559.72
SKU_0062,Decor,Candles,2023-04-14,2048.1,3935.02
SKU_0063,Decor,Candles,2023-06-27,773.85,1322.73
SKU_0064,Decor,Candles,2023-04-09,4631.0,10895.85
SKU_0065,Decor,Candles,2023-04-22,1219.9,1841.98
SKU_0066,Decor,Candles,2023-01-02,2820.48,5459.27
SKU_0067,Decor,Candles,2023-02-06,4981.64,12247.38
