sku_id,category,subcategory,avg_weekly_forecast,on_hand_units,on_order_units,lead_time_days,reorder_point,stockout_risk,overstock_risk,quadrant,action,urgency,color,stockout_rupee_at_risk,overstock_rupee_locked,total_rupee_at_stake,forecast_source
SKU_0001,Furnishings,Sofas,232.55,161.0,0.0,14.0,94.0,0.654,0.0,Reorder Now,Raise a replenishment order before stock runs out,HIGH,#E74C3C,1850478.98,0.0,1850478.98,LightGBM model predictions
SKU_0002,Furnishings,Sofas,293.26,38.0,0.0,14.0,34.0,0.935,0.0,Reorder Now,Raise a replenishment order before stock runs out,HIGH,#E74C3C,2474590.96,0.0,2474590.96,LightGBM model predictions
SKU_0003,Furnishings,Sofas,219.85,66.0,120.0,21.0,94.0,0.718,0.0,Reorder Now,Raise a replenishment order before stock runs out,HIGH,#E74C3C,2372180.19,0.0,2372180.19,LightGBM model predictions
SKU_0004,Furnishings,Sofas,272.92,73.0,0.0,21.0,41.0,0.911,0.0,Reorder Now,Raise a replenishment order before stock runs out,HIGH,#E74C3C,3526448.44,0.0,3526448.44,LightGBM model predictions
SKU_0005,Furnishings,Sofas,131.76,33.0,0.0,14.0,22.0,0.875,0.0,Reorder Now,Raise a replenishment order before stock runs out,HIGH,#E74C3C,2034641.5,0.0,2034641.5,LightGBM model predictions
SKU_0006,Furnishings,Sofas,259.41,41.0,164.0,7.0,44.0,0.21,0.0,Healthy,No action needed; leave as is,LOW,#27AE60,328996.92,0.0,328996.92,LightGBM model predictions
SKU_0007,Furnishings,Sofas,21.16,60.0,0.0,7.0,31.0,0.0,0.0,Healthy,No action needed; leave as is,LOW,#27AE60,0.0,0.0,0.0,LightGBM model predictions
SKU_0008,Furnishings,Sofas,213.61,81.0,0.0,28.0,74.0,0.905,0.0,Reorder Now,Raise a replenishment order before stock runs out,HIGH,#E74C3C,3677482.91,0.0,3677482.91,LightGBM model predictions
SKU_0009,Furnishings,Sofas,264.0,76.0,0.0,14.0,37.0,0.856,0.0,Reorder Now,Raise a replenishment order before stock runs out,HIGH,#E74C3C,2366229.43,0.0,2366229.43,LightGBM model predictions
SKU_0010,Furnishings,Sofas,30.15,95.0,0.0,14.0,92.0,0.0,0.0,Healthy,No action needed; leave as is,LOW,#27AE60,0.0,0.0,0.0,LightGBM model predictions
SKU_0011,Furnishings,Tables,53.31,124.0,0.0,21.0,68.0,0.225,0.0,Healthy,No action needed; leave as is,LOW,#27AE60,166304.03,0.0,166304.03,LightGBM model predictions
SKU_0012,Furnishings,Tables,17.03,78.0,0.0,21.0,53.0,0.0,0.0,Healthy,No action needed; leave as is,LOW,#27AE60,0.0,0.0,0.0,LightGBM model predictions
SKU_0013,Furnishings,Tables,154.52,77.0,81.0,28.0,96.0,0.744,0.0,Reorder Now,Raise a replenishment order before stock runs out,HIGH,#E74C3C,3659855.73,0.0,3659855.73,LightGBM model predictions
SKU_0014,Furnishings,Tables,168.8,99.0,0.0,7.0,26.0,0.414,0.0,Healthy,No action needed; leave as is,LOW,#27AE60,136602.88,0.0,136602.88,LightGBM model predictions
SKU_0015,Furnishings,Tables,50.04,106.0,0.0,28.0,67.0,0.47,0.0,Healthy,No action needed; leave as is,LOW,#27AE60,319032.17,0.0,319032.17,LightGBM model predictions
SKU_0016,Furnishings,Tables,172.31,169.0,0.0,7.0,72.0,0.019,0.0,Healthy,No action needed; leave as is,LOW,#27AE60,9492.58,0.0,9492.58,LightGBM model predictions
SKU_0017,Furnishings,Tables,277.46,122.0,0.0,14.0,93.0,0.78,0.0,Reorder Now,Raise a replenishment order before stock runs out,HIGH,#E74C3C,1464548.69,0.0,1464548.69,LightGBM model predictions
SKU_0018,Furnishings,Tables,108.96,164.0,0.0,14.0,78.0,0.247,0.0,Healthy,No action needed; leave as is,LOW,#27AE60,133605.62,0.0,133605.62,LightGBM model predictions
SKU_0019,Furnishings,Chairs,261.18,156.0,0.0,7.0,85.0,0.403,0.0,Healthy,No action needed; leave as is,LOW,#27AE60,516560.81,0.0,516560.81,LightGBM model predictions
SKU_0020,Furnishings,Chairs,32.77,65.0,0.0,7.0,62.0,0.0,0.0,Healthy,No action needed; leave as is,LOW,#27AE60,0.0,0.0,0.0,LightGBM model predictions
SKU_0021,Furnishings,Chairs,137.95,105.0,0.0,21.0,52.0,0.746,0.0,Reorder Now,Raise a replenishment order before stock runs out,HIGH,#E74C3C,2875500.5,0.0,2875500.5,LightGBM model predictions
SKU_0022,Furnishings,Chairs,254.53,127.0,0.0,7.0,72.0,0.501,0.0,Reorder Now,Raise a replenishment order before stock runs out,HIGH,#E74C3C,916944.6,0.0,916944.6,LightGBM model predictions
SKU_0023,Furnishings,Chairs,256.64,25.0,50.0,7.0,47.0,0.708,0.0,Reorder Now,Raise a replenishment order before stock runs out,HIGH,#E74C3C,556977.32,0.0,556977.32,LightGBM model predictions
SKU_0024,Furnishings,Chairs,141.88,107.0,0.0,14.0,31.0,0.623,0.0,Reorder Now,Raise a replenishment order before stock runs out,HIGH,#E74C3C,204328.22,0.0,204328.22,LightGBM model predictions
SKU_0025,Furnishings,Chairs,134.02,129.0,0.0,28.0,74.0,0.759,0.0,Reorder Now,Raise a replenishment order before stock runs out,HIGH,#E74C3C,1368636.52,0.0,1368636.52,LightGBM model predictions
SKU_0026,Furnishings,Chairs,21.63,56.0,0.0,21.0,28.0,0.137,0.0,Healthy,No action needed; leave as is,LOW,#27AE60,78156.98,0.0,78156.98,LightGBM model predictions
SKU_0027,Furnishings,Chairs,28.79,139.0,0.0,7.0,60.0,0.0,0.0,Healthy,No action needed; leave as is,LOW,#27AE60,0.0,0.0,0.0,LightGBM model predictions
SKU_0028,Furnishings,Beds,77.63,77.0,0.0,28.0,40.0,0.752,0.0,Reorder Now,Raise a replenishment order before stock runs out,HIGH,#E74C3C,2070524.13,0.0,2070524.13,LightGBM model predictions
SKU_0029,Furnishings,Beds,107.19,55.0,0.0,7.0,32.0,0.487,0.0,Healthy,No action needed; leave as is,LOW,#27AE60,51682.4,0.0,51682.4,LightGBM model predictions
SKU_0030,Furnishings,Beds,238.92,148.0,0.0,7.0,91.0,0.381,0.0,Healthy,No action needed; leave as is,LOW,#27AE60,334954.24,0.0,334954.24,LightGBM model predictions
SKU_0031,Furnishings,Beds,153.6,99.0,0.0,14.0,98.0,0.678,0.0,Reorder Now,Raise a replenishment order before stock runs out,HIGH,#E74C3C,594174.67,0.0,594174.67,LightGBM model predictions
