feature,importance
rolling_mean_4w,429678765.71735454
rolling_max_4w,417784406.95492136
lag_1w,28302095.148162365
demand_growth,20308784.154215574
rolling_median_4w,5909419.5206775665
rolling_min_4w,2577832.7043812275
week_of_year,1310175.7560805082
demand_acceleration,906638.7581020594
month_num,794901.4355401993
rolling_std_4w,709652.241625309
quarter,465366.4827346802
cumulative_demand,372565.1420483589
rolling_max_8w,317684.8116545677
lag_2w,292321.07082128525
week_sin,224390.7071313858
week_cos,158265.61975502968
rolling_max_12w,153630.38807153702
month_cos,147475.32417321205
month_sin,141815.21974945068
rolling_min_8w,135528.36198353767
category_avg_demand,69350.83163285255
season_Summer,29132.934869766235
price_ratio,20504.771028518677
discount_pct,13222.571971178055
price_change,12599.74712228775
rolling_min_12w,11122.786540985107
lag_8w,10303.920828342438
rolling_std_8w,10222.777278542519
rolling_mean_12w,9920.455865383148
rolling_mean_8w,9352.729955673218
has_promo_event,7958.766410827637
lag_6w,7605.274969100952
rolling_median_12w,7464.229105949402
subcategory_avg_demand,7038.185525417328
rolling_std_12w,6015.970027446747
lag_4w,5738.919127464294
on_hand_units,5193.895343899727
rolling_median_8w,4874.3802127838135
is_holiday,4209.276401519775
margin_pct,3253.5992385149
reorder_point,2866.0341272354126
margin,2444.260510444641
unit_cost,1874.9193286895752
unit_price,1611.9686735868454
lead_time_days,1114.3179016113281
season_Autumn,1064.5767974853516
list_price,994.6912956237793
on_order_units,451.84683418273926
promo_flag,419.0444793701172
year,406.038724899292
season_Spring,80.75189971923828
season_Winter,12.369500160217285
day_of_week,0.0
is_weekend,0.0
dow_sin,0.0
dow_cos,0.0
